id	title	youtube_id	youtube_id_original	duration	hidden
571	Pohled na HDP ze strany příjmů a výdajů	Z9b8nnvpim0	""	289	f
572	Kružnici definují tři body	4_xhiP6g2ow	""	609	f
573	Střed kružnice opsané pravoúhlému trojúhelníku	VejCw2NlE60	""	342	f
574	Difuze a osmóza	aubZU0iWtgI	""	1139	f
575	Úvod do úrokových sazeb.	GtaoP0skPWc	""	596	f
576	Všeobecný model komunistické revoluce	aNkrawaaiZQ	""	559	f
578	Komplexní čísla (část 1)	kpywdu1afas	""	610	f
584	Hodnota podniku	pa92UdJCaos	""	1049	f
585	EBITDA	v4Fq9LEspzw	""	847	f
588	Zředění akcie	tjQzJ7GY0GY	""	231	f
592	Co jsou to geny?	ubq4eu_TDFc	""	266	f
593	Co jsou SNP?	tJjXpiWKMyA	""	121	f
594	Odkud pochází vaše geny?	-Yg89GY61DE	""	261	f
595	Genetika: Co jsou to fenotypy?	kLpr6t4-eLI	""	124	f
596	Podnikový dluh vesrus tradiční hypotéky	rD25slnTqAE	""	296	f
597	Binární tanec ruky	OCYZTg3jahU	""	148	f
598	Úvod do dluhopisů	44cYyG0LSzQ	""	541	f
599	Píseň o konstantě kruhu	FtxmFlMLYRI	""	229	f
600	Úvod k výnosové křivce	b_cAxh44aNQ	""	596	f
601	Vztah mezi cenami dluhopisu a úrokovými sazbami	I7FDx4DPapw	""	796	f
602	Výnosová křivka	SwB9Fq5VRZY	""	256	f
603	Ceny pokladničních poukázek a výnosy	mS7t91U9Qqg	""	227	f
604	Roční úrok se liší podle doby splatnosti dluhu	YdGZaqJZbGc	""	190	f
605	Funkce (Část III)	5fcRSie63Hs	""	552	f
606	Permanentka na jógu - základy proměnných a rovnic	3tRc6mUumFk	""	439	f
607	Z čeho se skládá krev?	5MOn8X-tyFw	""	669	f
608	"Stechiometrické, sumární a strukturní vzorce"	bmjg7lq4m4o	""	410	f
